S.No,Date,Open,High,Low,Close,Adj Close,Volume,MA20,MA50,RSI,MACD,Signal Line,BB_upper,BB_middle,BB_lower,50_MA,200_MA,Daily_Returns,Volatility,Differenced_Close
1428,2/23/2017,17.60000038,17.6439991,17.03733253,17.06599998,17.06599998,223728000,17.5510334,15.9222534,48.55412874,0.614639732,0.739650386,19.03545687,17.5510334,16.06660993,15.9222534,14.42251003,-0.064056121,0.01931666,-1.167999268
1214,4/19/2016,16.87466621,16.95800018,16.08333206,16.49133301,16.49133301,95362500,16.24750004,14.04018661,58.07090076,0.714068737,0.814466717,17.87670962,16.24750004,14.61829046,14.04018661,15.14519998,-0.025642037,0.030088814,-0.434000015
3214,4/1/2024,176.1699982,176.75,170.2100067,175.2200012,175.2200012,81562100,174.7920006,186.5598004,44.77084929,-4.331336955,-5.767877392,185.9843877,174.7920006,163.5996135,186.5598004,231.7185499,-0.00324246,0.031047974,-0.569992065
2326,9/17/2020,138.5333405,145.9299927,136.0,141.1433258,141.1433258,230337600,139.3352329,117.4507468,55.65076181,6.638235007,7.533780893,164.8699166,139.3352329,113.8005492,117.4507468,63.93865336,-0.041493125,0.063000085,-6.11000061
1152,1/20/2016,13.29333305,13.41866684,12.75,13.24666691,13.24666691,87579000,14.64090004,14.82817339,32.36453886,-0.451870738,-0.289936313,16.38610253,14.64090004,12.89569755,14.82817339,15.8542233,-0.029405983,0.024262526,-0.401332855
2907,1/9/2023,118.9599991,123.5199966,117.1100006,119.7699966,119.7699966,190284000,133.8989998,169.4923996,36.25542245,-17.79009794,-18.33540288,177.1177772,133.8989998,90.68022238,169.4923996,247.0974507,0.059349011,0.046511435,6.709999084
3220,4/9/2024,172.9100037,179.2200012,171.9199982,176.8800049,176.8800049,103232700,171.9770012,182.9006003,50.12546989,-3.740548967,-4.787586539,181.505809,171.9770012,162.4481934,182.9006003,228.9641999,0.022546013,0.028488109,3.900009155
2668,1/26/2022,317.4766541,329.230011,302.0,312.4700012,312.4700012,104867400,346.7418304,347.6194647,40.05858246,-9.36753459,-3.775860139,393.8959498,346.7418304,299.5877111,347.6194647,271.108267,0.020699053,0.039816135,6.336669922
2406,1/12/2021,277.0,289.3333435,275.7799988,283.1466675,283.1466675,138812100,235.8729996,195.5456659,71.67893825,22.69246807,18.60567492,286.1295755,235.8729996,185.6164237,195.5456659,119.0688697,0.047152948,0.041269419,12.75
678,3/4/2014,17.23200035,17.33333206,16.85533333,16.9893322,16.9893322,131184000,14.14243331,12.07112001,77.01693046,1.409858012,1.147814076,17.77689826,14.14243331,10.50796836,12.07112001,10.04668332,0.01708164,0.040597841,0.285331726
